total_pegs,total_empty,total_holes,num_legal_moves,peg_ratio,mobile_pegs,immobile_pegs,jumpable_pegs,mobility_ratio,num_clusters,largest_cluster,edge_pegs,interior_pegs,avg_adjacent_pegs,avg_adjacent_empty,max_adjacent_empty,center_of_mass_r,center_of_mass_c,spread,min_pegs_reachable,max_pegs_reachable,best_move_r1,best_move_c1,best_move_r2,best_move_c2,worst_move_r1,worst_move_c1,worst_move_r2,worst_move_c2,board_rows,board_cols,board_state
17,3,20,3,0.85,3,14,3,0.176471,2,9,15,2,2.117647,0.411765,1,2.058824,2.764706,0.698313,1,10,0,3,2,3,0,3,2,3,6,6,000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000010000000000000002000000000000000000000000000000020000000000000002000000000000000200000000000000010000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000000000000000000000000000000000000
19,1,20,1,0.95,1,18,1,0.052632,1,19,14,5,2.631579,0.105263,1,2.0,2.368421,0.73373,1,11,2,2,4,2,2,2,4,2,5,6,000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000100000000000000000000000000000000000000000000000000000000000000
17,3,20,5,0.85,4,13,3,0.235294,4,8,14,3,1.882353,0.588235,2,2.058824,3.588235,0.734875,5,12,0,4,2,4,2,6,2,4,5,7,00000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000001000000000000000200000000000000020000000000000000000000000000000200000000000000020000000000000000000000000000000200000000000000010000000000000002000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000002000000000000000000000000000000
18,2,20,3,0.9,3,15,3,0.166667,1,18,12,6,2.555556,0.333333,1,2.0,2.833333,0.740347,3,11,1,5,1,3,1,5,1,3,5,6,000000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000010000000000000002000000000000000200000000000000010000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000000000000000000000000000000000000000000000000000
18,3,21,6,0.857143,6,12,5,0.333333,1,18,11,7,2.555556,0.388889,2,2.111111,1.944444,0.719404,2,12,0,2,0,0,0,2,0,0,6,5,010000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000001000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000001000000000000000200000000000000020000000000000000000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000
19,2,21,5,0.904762,5,14,3,0.263158,1,19,15,4,2.105263,0.368421,2,2.631579,2.894737,0.779049,2,15,1,4,3,4,1,4,3,4,6,6,000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000010000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000001000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000
20,1,21,1,0.952381,1,19,1,0.05,1,20,14,6,2.6,0.2,1,2.55,2.45,0.744087,1,13,3,1,1,1,3,1,1,1,6,6,000000000000000002000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000001000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000000000000000000000000000000000000
18,3,21,4,0.857143,3,15,3,0.166667,2,17,13,5,2.333333,0.333333,2,2.222222,2.444444,0.671168,2,12,2,1,4,1,2,1,4,1,6,6,000000000000000001000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000020000000000000001000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000
20,1,21,1,0.952381,1,19,1,0.05,1,20,13,7,2.9,0.1,1,1.75,2.7,0.646622,1,12,2,5,4,5,2,5,4,5,5,6,000000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000100000000000000
19,3,22,3,0.863636,3,16,3,0.157895,1,19,10,9,2.736842,0.315789,3,2.894737,2.526316,0.664921,1,11,2,2,0,2,2,2,0,2,6,6,000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000200000000000000010000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000
21,1,22,2,0.954545,2,19,2,0.095238,1,21,13,8,2.571429,0.142857,1,3.095238,3.095238,0.811329,2,13,1,2,1,4,1,2,1,4,7,6,000000000000000000000000000000000000000000000000020000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000
19,3,22,5,0.863636,3,16,5,0.157895,2,18,12,7,2.421053,0.421053,1,2.473684,2.684211,0.701778,1,12,2,3,4,3,2,4,4,4,6,6,000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000001000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000010000000000000001000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000000000000000000000000000000000000
21,1,22,2,0.954545,2,19,2,0.095238,1,21,14,7,2.571429,0.142857,1,3.0,1.571429,0.823328,3,13,2,2,2,0,2,2,2,0,7,5,00000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000100000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000
21,1,22,1,0.954545,1,20,1,0.047619,1,21,15,6,2.761905,0.047619,1,1.857143,2.809524,0.796971,1,14,3,2,5,2,3,2,5,2,6,7,020000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000
22,1,23,2,0.956522,2,20,2,0.090909,1,22,13,9,2.909091,0.090909,1,3.090909,1.863636,0.704663,1,14,1,1,1,3,1,1,1,3,7,5,00000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000200000000000000010000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000
22,1,23,2,0.956522,2,20,2,0.090909,2,15,16,6,2.272727,0.181818,1,2.772727,2.590909,0.878092,2,15,3,0,3,2,3,4,3,2,6,7,020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000100000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000200000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000
21,2,23,5,0.913043,5,16,5,0.238095,1,21,15,6,2.571429,0.238095,1,2.047619,2.761905,0.814879,1,14,0,3,2,3,0,3,2,3,5,7,02000000000000000200000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000010000000000000002000000000000000200000000000000000000000000000001000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000
21,2,23,4,0.913043,4,17,4,0.190476,1,21,13,8,2.571429,0.238095,1,2.428571,3.285714,0.778038,2,13,0,2,0,4,0,2,0,4,6,7,000000000000000000000000000000000200000000000000020000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000001000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000002000000000000000000000000000000
21,2,23,3,0.913043,3,18,3,0.142857,1,21,15,6,2.47619,0.333333,2,2.428571,3.0,0.757405,2,14,0,3,2,3,0,3,2,3,5,7,00000000000000000000000000000000000000000000000002000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000001000000000000000200000000000000010000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000000000000000000
22,2,24,2,0.916667,2,20,2,0.090909,1,22,13,9,2.818182,0.181818,1,2.454545,1.863636,0.773785,1,15,2,2,0,2,2,2,0,2,7,5,00000000000000000200000000000000010000000000000001000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000
23,1,24,1,0.958333,1,22,1,0.043478,1,23,14,9,2.956522,0.043478,1,2.695652,2.869565,0.711372,2,15,3,2,3,0,3,2,3,0,6,6,000000000000000000000000000000000000000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000010000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000
21,3,24,5,0.875,5,16,5,0.238095,3,19,15,6,2.47619,0.333333,1,3.190476,3.095238,0.906215,1,14,1,5,1,3,1,5,1,3,6,7,000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000010000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000010000000000000002000000000000000000000000000000
23,1,24,3,0.958333,3,20,3,0.130435,1,23,15,8,2.869565,0.173913,1,2.0,2.173913,0.700292,1,15,1,0,1,2,1,0,1,2,6,5,020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000001000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000
23,1,24,2,0.958333,2,21,2,0.086957,1,23,16,7,2.695652,0.173913,1,2.043478,2.608696,0.856162,1,15,1,5,1,3,1,5,1,3,5,7,00000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000100000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000000000000000000
22,3,25,5,0.88,4,18,5,0.181818,2,21,14,8,2.545455,0.272727,1,2.681818,4.727273,0.90898,2,14,2,3,2,1,1,7,1,5,6,8,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000001000000000000000200000000000000020000000000000002000000000000000100000000000000020000000000000002000000000000000200000000000000010000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000000000002000000000000000000000000000000
23,2,25,4,0.92,4,19,4,0.173913,2,22,12,11,2.782609,0.217391,1,2.652174,2.26087,0.716036,1,15,1,3,1,1,1,3,1,1,6,6,000000000000000000000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000001000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000200000000000000010000000000000002000000000000000000000000000000
23,2,25,5,0.92,5,18,5,0.217391,1,23,15,8,2.608696,0.304348,1,3.26087,3.652174,0.829282,1,16,2,3,4,3,2,3,4,3,6,7,000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000001000000000000000200000000000000020000000000000001000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000
24,1,25,2,0.96,2,22,2,0.083333,1,24,15,9,2.916667,0.125,1,2.541667,1.916667,0.731922,1,16,3,2,5,2,3,2,5,2,6,5,000000000000000000000000000000000200000000000000000000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000000000000000000002000000000000000200000000000000010000000000000002000000000000000000000000000000
