total_pegs,total_empty,total_holes,num_legal_moves,peg_ratio,mobile_pegs,immobile_pegs,jumpable_pegs,mobility_ratio,num_clusters,largest_cluster,edge_pegs,interior_pegs,avg_adjacent_pegs,avg_adjacent_empty,max_adjacent_empty,center_of_mass_r,center_of_mass_c,spread,min_pegs_reachable,max_pegs_reachable,best_move_r1,best_move_c1,best_move_r2,best_move_c2,worst_move_r1,worst_move_c1,worst_move_r2,worst_move_c2,board_rows,board_cols,board_state
7,2,9,1,0.777778,1,6,1,0.142857,2,6,7,0,1.428571,0.428571,1,1.0,2.857143,0.914194,5,5,1,2,1,0,1,2,1,0,3,6,000000000000000000000000000000000000000000000000010000000000000000000000000000000200000000000000010000000000000002000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,2,9,1,0.777778,1,6,1,0.142857,2,6,6,1,1.714286,0.571429,1,1.0,2.0,0.622108,2,2,0,2,2,2,0,2,2,2,3,4,000000000000000000000000000000000200000000000000020000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000010000000000000001000000000000000200000000000000
7,2,9,2,0.777778,2,5,2,0.285714,4,4,7,0,0.857143,0.714286,1,1.0,1.428571,0.609203,4,6,0,2,2,2,1,2,1,0,4,4,0200000000000000000000000000000002000000000000000200000000000000010000000000000002000000000000000200000000000000000000000000000002000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000
9,3,12,3,0.75,3,6,3,0.333333,4,5,8,1,1.111111,1.111111,3,1.777778,1.888889,0.61389,2,5,0,1,2,1,0,1,2,1,4,5,00000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000010000000000000002000000000000000100000000000000020000000000000002000000000000000200000000000000010000000000000002000000000000000000000000000000
9,3,12,2,0.75,2,7,2,0.222222,2,8,8,1,1.555556,0.666667,2,1.888889,1.777778,0.536726,2,6,0,2,2,2,0,2,2,2,4,5,00000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000020000000000000001000000000000000100000000000000000000000000000002000000000000000200000000000000020000000000000001000000000000000200000000000000
10,2,12,3,0.833333,3,7,3,0.3,1,10,9,1,1.8,0.5,1,1.6,1.8,0.577072,4,9,2,2,2,0,1,2,3,2,4,4,0000000000000000020000000000000002000000000000000200000000000000000000000000000000000000000000000200000000000000000000000000000001000000000000000200000000000000020000000000000002000000000000000200000000000000020000000000000001000000000000000200000000000000
11,1,12,2,0.916667,2,9,2,0.181818,3,8,10,1,1.818182,0.363636,1,2.727273,1.545455,0.622271,4,7,0,2,2,2,4,2,2,2,5,4,00000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000002000000000000000100000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000
10,2,12,2,0.833333,2,8,2,0.2,2,9,8,2,1.6,0.7,1,1.9,1.3,0.569641,3,6,1,1,3,1,1,1,3,1,5,4,00000000000000000200000000000000020000000000000000000000000000000000000000000000020000000000000001000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000002000000000000000100000000000000020000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000
12,1,13,1,0.923077,1,11,1,0.083333,1,12,10,2,2.333333,0.083333,1,2.583333,2.083333,0.645417,4,8,2,2,0,2,2,2,0,2,6,5,000000000000000000000000000000000100000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000000000000000000000000000000000002000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000
12,1,13,1,0.923077,1,11,1,0.083333,1,12,10,2,2.333333,0.083333,1,1.916667,2.416667,0.682417,2,8,1,2,1,4,1,2,1,4,4,6,000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000002000000000000000200000000000000020000000000000001000000000000000000000000000000020000000000000002000000000000000200000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000020000000000000002000000000000000200000000000000
